room_number,qr,measured_temp,issue_heating,issue_motion,issue_temperature_sensor,issue_door,issue_window,issue_heating_switch,issue_kitchen_switch,issue_wifi,problem_description,solution,short_uuid,mac_address,timestamp,last_motion_time,last_motion_state,voltage_state,temp,broker_connection
125,B02E4F,21.6,,,,,,,,,,,"B02-E4F
",02:42:AC:12:00:03,07-09-2023_15-17-17,07-09-2023 15:17:15,0,DETECT,22.5625,NOT CONNECTED
126,ABDB15,21.7,,,,,,,,,,,"ABD-B15
",02:42:AC:12:00:03,07-09-2023_15-19-15,07-09-2023 15:19:14,1,DETECT,24.1875,NOT CONNECTED
126,ABDB15,19.7,,,,,,,,,,,"ABD-B15
",02:42:AC:12:00:02,25-09-2023_18-08-57,25-09-2023 18:08:56,0,DETECT,23.9375,NOT CONNECTED
128,BB1B8B,20.8,,,,,Nie dzia³a ca³y czas pokazuje Close ,Nie reaguje na zmianê stanu ca³y czas wykrywa napiêcie ,"Kuchenka jest zawsze w³¹czona, s³uchaæ pstrykanie ",,,,"BB1-B8B
",02:42:AC:12:00:02,07-09-2023_15-28-09,07-09-2023 15:27:59,0,DETECT,23.3125,NOT CONNECTED
128,BB1B8B,21.7,,,,,Nie dzia³a ca³y czas pokazuje Close ,,,,,,"BB1-B8B
",02:42:AC:12:00:03,10-09-2023_14-51-21,10-09-2023 14:51:04,0,DETECT,23.6875,NOT CONNECTED
129,9B292D,21,,,,,,,,,,,"9B2-92D
",02:42:AC:12:00:03,07-09-2023_15-31-29,07-09-2023 15:31:28,0,DETECT,23.8125,NOT CONNECTED
130,9C2BDC,21.8,,Nie wykry³a ruchu jak wchodzi³em ,,,,,,,,,"9C2-BDC
",02:42:AC:12:00:03,07-09-2023_15-33-45,07-09-2023 14:59:50,1,DETECT,24.0625,NOT CONNECTED
131,B6623C,22.8,,,,,,,,,,,"B66-23C
",02:42:AC:12:00:02,07-09-2023_15-36-37,07-09-2023 15:36:34,0,DETECT,24.1875,NOT CONNECTED
132,AD6FFD,21.8,,,,"Oderwany od framugi, ale dzia³a poprawnie ",,,,,,,"AD6-FFD
",02:42:AC:12:00:03,07-09-2023_15-40-48,07-09-2023 15:40:13,0,DETECT,23.875,NOT CONNECTED
133,A46363,21.5,,,,,,,,,,,"A46-363
",02:42:AC:12:00:03,07-09-2023_15-43-12,07-09-2023 15:43:01,0,DETECT,24.3125,NOT CONNECTED
134,B31F37,22.3,,,,,,Nie reaguje na zmianê stanu ca³y czas wykrywa napiêcie ,"Kuchenka jest zawsze w³¹czona, s³uchaæ pstrykanie ",,,,"B31-F37
",02:42:AC:12:00:03,07-09-2023_15-46-14,07-09-2023 15:46:09,0,DETECT,23.875,NOT CONNECTED
,,,,,,,,,,,Poprawa przewodów elektrycznych ,,"B31-F37
",02:42:AC:12:00:03,07-09-2023_17-17-22,07-09-2023 17:17:09,0,DETECT,24.0,NOT CONNECTED
135,181B55,20.4,,,,,,,,,,,"181-B55
",02:42:AC:12:00:02,07-09-2023_15-48-23,07-09-2023 15:48:22,0,DETECT,23.4375,NOT CONNECTED
136,AD5BDE,20.1,,,Nie widzi czujki temperatury ,,,Nie reaguje na zmianê stanu ca³y czas wykrywa napiêcie ,"Kuchenka jest zawsze w³¹czona, s³uchaæ pstrykanie ",,,,"AD5-BDE
",02:42:AC:12:00:03,07-09-2023_15-51-10,07-09-2023 15:51:08,0,DETECT,Sensor not detected,NOT CONNECTED
,,,,,,,,,,,Poprawa przewodów elektrycznych ,,"AD5-BDE
",02:42:AC:12:00:03,07-09-2023_17-21-54,07-09-2023 17:21:52,0,DETECT,Sensor not detected,NOT CONNECTED
137,B4E9E0,20.8,,,,,Nie dzia³a ca³y czas pokazuje Open,Nie reaguje na zmianê stanu ca³y czas wykrywa napiêcie,"Kuchenka jest zawsze w³¹czona, s³ychaæ pstrykanie ",,,,"B4E-9E0
",02:42:AC:12:00:03,07-09-2023_15-56-04,07-09-2023 15:54:52,0,DETECT,23.375,NOT CONNECTED
,,,,,,,Nie dzia³a ca³y czas pokazuje Open (update),,,,,,"B4E-9E0
",02:42:AC:12:00:03,07-09-2023_15-57-26,07-09-2023 15:57:25,1,DETECT,23.375,NOT CONNECTED
,,,,,,,,,,,Pop,,"B4E-9E0
",02:42:AC:12:00:03,07-09-2023_17-24-40,07-09-2023 17:24:38,1,DETECT,23.375,NOT CONNECTED
,,,,,,,,,,,Poprawa przewodów elektrycznych ,,"B4E-9E0
",02:42:AC:12:00:03,07-09-2023_17-24-45,07-09-2023 17:24:40,0,DETECT,23.375,NOT CONNECTED
139,B6231D,20.5,,,,,Nie dzia³a ca³y czas pokazuje Close ,Nie reaguje na zmianê stanu ca³y czas wykrywa napiêcie ,"Kuchenka jest zawsze w³¹czona, s³uchaæ pstrykanie ",,,,"B62-31D
",02:42:AC:12:00:02,07-09-2023_16-02-49,07-09-2023 16:02:22,0,DETECT,24.0,NOT CONNECTED
,,,,,,,,,,,Poprawka elektryczna w boxie ,,"B62-31D
",02:42:AC:12:00:02,07-09-2023_17-32-36,07-09-2023 17:32:35,0,DETECT,23.875,NOT CONNECTED
141,C0B7D0,21.2,,,,,,Nie reaguje na zmianê stanu ca³y czas wykrywa napiêcie ,"Kuchenka jest zawsze w³¹czona, s³uchaæ pstrykanie ",,,,"C0B-7D0
",02:42:AC:12:00:03,07-09-2023_16-11-54,07-09-2023 16:11:35,0,DETECT,24.0625,NOT CONNECTED
,,,,,,,,,,,Poprawka elektryczna w boxie ,,"C0B-7D0
",02:42:AC:12:00:03,07-09-2023_17-35-45,07-09-2023 17:35:41,0,DETECT,24.125,NOT CONNECTED
142,7FC3EB,,,,,,,,,,Poprawka elektryczna w boxie ,,"7FC-3EB
",02:42:AC:12:00:02,07-09-2023_18-28-54,07-09-2023 18:28:53,1,DETECT,24.0625,NOT CONNECTED
143,1C508A,,,,,,,,,,Poprawka elektryczna w boxie ,,"1C5-08A
",02:42:AC:12:00:02,07-09-2023_18-31-49,07-09-2023 18:31:49,0,DETECT,23.5625,NOT CONNECTED
144,B68E5E,,,,,,,,,,Poprawka elektryczna w boxie ,,"B6B-E5E
",02:42:AC:12:00:03,07-09-2023_18-38-02,07-09-2023 18:38:01,1,DETECT,25.0,NOT CONNECTED
146,7E4B38,,,,,,,,,,Pop,,"7E4-B38
",02:42:AC:12:00:03,07-09-2023_18-41-23,07-09-2023 18:41:21,0,DETECT,23.4375,NOT CONNECTED
147,7DA2B0,,,,,,,,,,Poprawka elektryczna w boxie ,,"7DA-2B0
",02:42:AC:12:00:02,07-09-2023_18-43-51,07-09-2023 18:43:50,1,DETECT,25.4375,NOT CONNECTED
148,B17513,,,,,,,,,,Poprawka elektryczna w boxie ,,"B17-513
",02:42:AC:12:00:02,07-09-2023_18-45-19,07-09-2023 18:45:15,0,DETECT,25.0,NOT CONNECTED
149,A653E1,,,,,,,,,,Poprawka elektryczna w boxie ,,"A65-3E1
",02:42:AC:12:00:03,07-09-2023_18-47-11,07-09-2023 18:47:01,0,DETECT,25.125,NOT CONNECTED
150,B952DF,,,,,,,,,,Poprawka elektryczna w boxie ,,"B95-2DF
",02:42:AC:12:00:03,07-09-2023_18-49-03,07-09-2023 14:59:31,0,DETECT,24.9375,NOT CONNECTED
151,E48090,,,,,,,,,,Poprawka elektryczna w boxie ,,"E48-090
",02:42:AC:12:00:03,07-09-2023_18-51-02,07-09-2023 18:50:55,0,DETECT,Sensor not detected,NOT CONNECTED
